ID,CardSourceID,CardHolderID,DateIn,ReportField1,ReportField2,DateOut,HoursWorked
7143,1080,223206558,NULL,,,4/7/2017 11:43,0
7144,1080,227189917,NULL,,,4/7/2017 11:44,0
7145,1080,220202287,NULL,,,4/7/2017 11:44,0
7146,1080,226728848,NULL,,,4/7/2017 11:44,0
7147,1080,220914758,NULL,,,4/7/2017 11:45,0
7148,1080,222700981,NULL,,,4/7/2017 11:45,0
7149,1080,222588857,NULL,,,4/7/2017 11:45,0
7150,1080,220377972,NULL,,,4/7/2017 11:45,0
7151,1080,221038375,NULL,,,4/7/2017 11:46,0
7152,1080,222467359,NULL,,,4/7/2017 11:46,0
7153,1080,222537680,NULL,,,4/7/2017 11:46,0
7154,1080,220962930,NULL,,,4/7/2017 11:46,0
7155,1080,222657470,NULL,,,4/7/2017 11:50,0
7156,1080,223554148,NULL,,,4/7/2017 11:50,0
7157,1080,233775485,NULL,,,4/7/2017 11:52,0
7158,1080,218556140,NULL,,,4/7/2017 11:52,0
7159,1080,223357377,NULL,,,4/7/2017 11:52,0
7160,1080,221229073,NULL,,,4/7/2017 11:53,0
7161,1080,221230485,NULL,,,4/7/2017 11:53,0
7162,1080,223371634,NULL,,,4/7/2017 11:54,0
7163,1080,222594566,NULL,,,4/7/2017 11:54,0
7164,1080,223156639,NULL,,,4/7/2017 11:55,0
7165,1080,218621787,NULL,,,4/7/2017 11:55,0
7166,1080,220472872,NULL,,,4/7/2017 11:55,0
7167,1080,216202804,NULL,,,4/7/2017 11:56,0
7168,1080,223269705,NULL,,,4/7/2017 11:56,0
7169,1080,223198193,NULL,,,4/7/2017 11:56,0
7170,1080,214712432,NULL,,,4/7/2017 11:57,0
7171,1080,220026173,NULL,,,4/7/2017 11:57,0
7172,1080,222656407,NULL,,,4/7/2017 11:57,0
7173,1080,222581233,NULL,,,4/7/2017 11:57,0
7174,1080,215796624,NULL,,,4/7/2017 12:15,0
7175,1080,224458307,NULL,,,4/7/2017 12:16,0
7176,1080,222274300,NULL,,,4/7/2017 12:16,0
7177,1080,217840180,NULL,,,4/7/2017 12:17,0
7178,1080,234147247,NULL,,,4/7/2017 12:17,0
7179,1080,215219718,NULL,,,4/7/2017 12:20,0
7180,1080,220012579,NULL,,,4/7/2017 12:21,0
7181,1080,216631093,NULL,,,4/7/2017 12:21,0
7182,1080,216901348,NULL,,,4/7/2017 12:22,0
7183,1080,218468627,NULL,,,4/7/2017 12:22,0
7184,1080,220181978,NULL,,,4/7/2017 12:23,0
7185,1080,233561125,NULL,,,4/7/2017 12:25,0
7186,1080,231764408,NULL,,,4/7/2017 12:25,0
7187,1080,209076322,NULL,,,4/7/2017 12:25,0
7188,1080,221381601,NULL,,,4/7/2017 12:26,0
7189,1080,227688280,NULL,,,4/7/2017 12:26,0
7190,1080,220814677,NULL,,,4/7/2017 12:26,0
7191,1080,223108622,NULL,,,4/7/2017 12:26,0
7192,1080,213403314,NULL,,,4/7/2017 12:26,0
7193,1080,220315097,NULL,,,4/7/2017 12:27,0
7194,1080,221855265,NULL,,,4/7/2017 12:27,0
7195,1080,216563965,NULL,,,4/7/2017 12:29,0
7196,1080,232531681,NULL,,,4/7/2017 12:32,0
7197,1080,216863860,NULL,,,4/7/2017 12:32,0
7198,1080,216061812,NULL,,,4/7/2017 12:45,0
7199,1080,216328336,NULL,,,4/7/2017 12:46,0
7200,1080,220274336,NULL,,,4/7/2017 12:46,0
7201,1080,215559154,NULL,,,4/7/2017 12:47,0
7202,1080,231551847,NULL,,,4/7/2017 12:47,0
7203,1080,218545978,NULL,,,4/7/2017 12:47,0
7204,1080,220499545,NULL,,,4/7/2017 12:49,0
7205,1080,220328215,NULL,,,4/7/2017 12:50,0
7206,1080,216885871,NULL,,,4/7/2017 12:51,0
7207,1080,221125842,NULL,,,4/7/2017 12:51,0
7208,1080,222028235,NULL,,,4/7/2017 12:53,0
7209,1080,219634813,NULL,,,4/7/2017 12:53,0
7210,1080,220879977,NULL,,,4/7/2017 12:53,0
7211,1080,216453183,NULL,,,4/7/2017 12:54,0
7212,1080,217436815,NULL,,,4/7/2017 12:55,0
7213,1080,217865765,NULL,,,4/7/2017 12:55,0
7214,1080,214381733,NULL,,,4/7/2017 12:56,0
7215,1080,236958724,NULL,,,4/7/2017 12:56,0
7216,1080,236959060,NULL,,,4/7/2017 12:56,0
7217,1080,220435614,NULL,,,4/7/2017 12:56,0
7218,1080,220301287,NULL,,,4/7/2017 12:57,0
7219,1080,220306765,NULL,,,4/7/2017 12:58,0
7220,1080,220149744,NULL,,,4/7/2017 12:58,0
7221,1080,221373053,NULL,,,4/7/2017 12:58,0
7222,1080,220126635,NULL,,,4/7/2017 12:58,0
7223,1080,232647347,NULL,,,4/7/2017 12:59,0
7224,1080,232647347,NULL,,,4/7/2017 12:59,0
7225,1080,226672145,NULL,,,4/7/2017 12:59,0
7226,1080,221373046,NULL,,,4/7/2017 13:00,0
7227,1080,221273410,NULL,,,4/7/2017 13:00,0
7228,1080,217102995,NULL,,,4/7/2017 13:00,0
7229,1080,220214738,NULL,,,4/7/2017 13:01,0
7230,1080,220962914,NULL,,,4/7/2017 13:01,0
7231,1080,220368674,NULL,,,4/7/2017 13:01,0
7232,1080,221142714,NULL,,,4/7/2017 13:02,0
7233,1080,216095224,NULL,,,4/7/2017 13:02,0
7234,1080,237002209,NULL,,,4/7/2017 13:19,0
7235,1080,216766659,NULL,,,4/7/2017 13:19,0
7236,1080,219581998,NULL,,,4/7/2017 13:19,0
7237,1080,212804280,NULL,,,4/7/2017 13:19,0
7238,1080,214492027,NULL,,,4/7/2017 13:20,0
7239,1080,214492027,NULL,,,4/7/2017 13:20,0
7240,1080,215770017,NULL,,,4/7/2017 13:20,0
7241,1080,213145568,NULL,,,4/7/2017 13:20,0
7242,1080,221461676,NULL,,,4/7/2017 13:20,0
7243,1080,221461676,NULL,,,4/7/2017 13:20,0
7244,1080,214926875,NULL,,,4/7/2017 13:20,0
7245,1080,209097179,NULL,,,4/7/2017 13:21,0
7246,1080,208659789,NULL,,,4/7/2017 13:21,0
7247,1080,208659789,NULL,,,4/7/2017 13:21,0
7248,1080,218512499,NULL,,,4/7/2017 13:22,0
7249,1080,214330821,NULL,,,4/7/2017 13:22,0
7250,1080,215009176,NULL,,,4/7/2017 13:22,0
7251,1080,218688414,NULL,,,4/7/2017 13:22,0
7252,1080,216564161,NULL,,,4/7/2017 13:23,0
7253,1080,217953355,NULL,,,4/7/2017 13:24,0
7254,1080,215675604,NULL,,,4/7/2017 13:28,0
7255,1080,236959441,NULL,,,4/7/2017 13:28,0
7256,1080,216759860,NULL,,,4/7/2017 13:28,0
7257,1080,214712432,NULL,,,4/7/2017 13:29,0
7258,1080,216490482,NULL,,,4/7/2017 13:29,0
7259,1080,220117584,NULL,,,4/7/2017 13:29,0
7260,1080,218065035,NULL,,,4/7/2017 13:30,0
7261,1080,215540444,NULL,,,4/7/2017 13:30,0
7262,1080,214591653,NULL,,,4/7/2017 13:30,0
7263,1080,217315563,NULL,,,4/7/2017 13:30,0
7264,1080,218923126,NULL,,,4/7/2017 13:30,0
7265,1080,223164799,NULL,,,4/7/2017 13:45,0
7266,1080,210187886,NULL,,,4/7/2017 13:45,0
7267,1080,215987223,NULL,,,4/7/2017 13:47,0
7268,1080,215970310,NULL,,,4/7/2017 13:48,0
7269,1080,216453423,NULL,,,4/7/2017 13:48,0
7270,1080,218607315,NULL,,,4/7/2017 13:48,0
7271,1080,217060938,NULL,,,4/7/2017 13:49,0
7272,1080,226672012,NULL,,,4/7/2017 13:49,0
7273,1080,206591950,NULL,,,4/7/2017 13:49,0
7274,1080,225161025,NULL,,,4/7/2017 13:50,0
7275,1080,219499043,NULL,,,4/7/2017 13:51,0
7276,1080,218634418,NULL,,,4/7/2017 13:51,0
7277,1080,216487223,NULL,,,4/7/2017 13:51,0
7278,1080,216144675,NULL,,,4/7/2017 13:52,0
7279,1080,214242224,NULL,,,4/7/2017 13:52,0
7280,1080,216486993,NULL,,,4/7/2017 13:52,0
7281,1080,220012389,NULL,,,4/7/2017 13:53,0
7282,1080,232403402,NULL,,,4/7/2017 13:53,0
7283,1080,215536095,NULL,,,4/7/2017 13:54,0
7284,1080,216901678,NULL,,,4/7/2017 13:54,0
7285,1080,216215483,NULL,,,4/7/2017 13:54,0
7286,1080,214888349,NULL,,,4/7/2017 13:55,0
7315,1080,234897031,NULL,,,4/11/2017 11:14,0
7316,1080,223554148,NULL,,,4/11/2017 11:16,0
7317,1080,233775485,NULL,,,4/11/2017 11:18,0
7318,1080,214569832,NULL,,,4/11/2017 11:19,0
7319,1080,222657470,NULL,,,4/11/2017 11:19,0
7320,1080,218556140,NULL,,,4/11/2017 11:19,0
7321,1080,221230485,NULL,,,4/11/2017 11:19,0
7322,1080,218012326,NULL,,,4/11/2017 11:22,0
7323,1080,223371634,NULL,,,4/11/2017 11:23,0
7324,1080,220801286,NULL,,,4/11/2017 11:24,0
7325,1080,222657892,NULL,,,4/11/2017 11:25,0
7326,1080,226599850,NULL,,,4/11/2017 11:26,0
7327,1080,222692477,NULL,,,4/11/2017 11:42,0
7328,1080,222581233,NULL,,,4/11/2017 11:43,0
7329,1080,220202287,NULL,,,4/11/2017 11:43,0
7330,1080,226728848,NULL,,,4/11/2017 11:43,0
7331,1080,217531037,NULL,,,4/11/2017 11:43,0
7332,1080,227189917,NULL,,,4/11/2017 11:44,0
7333,1080,223206558,NULL,,,4/11/2017 11:44,0
7334,1080,223323957,NULL,,,4/11/2017 11:44,0
7335,1080,275281558,NULL,,,4/11/2017 11:44,0
7336,1080,221013717,NULL,,,4/11/2017 11:45,0
7337,1080,220962930,NULL,,,4/11/2017 11:45,0
7338,1080,222642464,NULL,,,4/11/2017 11:45,0
7339,1080,222700981,NULL,,,4/11/2017 11:45,0
7340,1080,222588857,NULL,,,4/11/2017 11:45,0
7341,1080,222537680,NULL,,,4/11/2017 11:45,0
7342,1080,221038375,NULL,,,4/11/2017 11:46,0
7343,1080,215738816,NULL,,,4/11/2017 11:46,0
7344,1080,222467359,NULL,,,4/11/2017 11:46,0
7345,1080,223156704,NULL,,,4/11/2017 11:46,0
7346,1080,222598781,NULL,,,4/11/2017 11:46,0
7347,1080,234681138,NULL,,,4/11/2017 11:46,0
7348,1080,219040045,NULL,,,4/11/2017 11:47,0
7349,1080,237123476,NULL,,,4/11/2017 11:47,0
7350,1080,220026173,NULL,,,4/11/2017 11:48,0
7351,1080,222594566,NULL,,,4/11/2017 11:48,0
7352,1080,226857217,NULL,,,4/11/2017 11:48,0
7353,1080,215455122,NULL,,,4/11/2017 11:49,0
7354,1080,222656407,NULL,,,4/11/2017 11:49,0
7355,1080,222892978,NULL,,,4/11/2017 11:49,0
7356,1080,220472872,NULL,,,4/11/2017 11:54,0
7357,1080,220377972,NULL,,,4/11/2017 11:54,0
7358,1080,223983198,NULL,,,4/11/2017 11:54,0
7359,1080,223983198,NULL,,,4/11/2017 11:55,0
7360,1080,222656407,NULL,,,4/11/2017 12:04,0
