CardHolderID,Date
"220012579","11/28/2016"
"219305992","12/14/2016"
"223302100","12/21/2016"
"222059958","2/16/2017"
"221261506","12/15/2016"
"226857217","4/11/2017"
"222552374","2/16/2017"
"222059958","2/15/2017"
"225766187","9/30/2016"
"221261506","9/23/2016"
"222966491","12/8/2016"
"224358028","2/16/2017"
"220315097","1/23/2017"
"216328336","1/9/2017"
"211722079","3/24/2017"
"220117584","5/9/2017"
"225266394","2/14/2017"
"220792832","11/10/2016"
"220149744","1/12/2017"
"220076152","4/6/2017"
"217008168","1/10/2017"
"219305992","12/16/2016"
"216055574","4/6/2017"
"221773245","1/13/2017"
"239651193","11/17/2016"
"222700791","9/12/2016"
"219828266","9/23/2016"
"212804280","5/5/2017"
"220076152","11/15/2016"
"220372304","12/15/2016"
"222602104","11/28/2016"
"220012637","2/15/2017"
"211722079","12/22/2016"
"222552374","2/15/2017"
"217327329","1/23/2017"
"237076831","10/13/2016"
"216901348","1/13/2017"
"221394521","10/21/2016"
"220389456","1/13/2017"
"213403314","12/15/2016"
"222602104","11/14/2016"
"222700791","10/7/2016"
"221794712","12/16/2016"
"220076152","11/14/2016"
"219589413","12/6/2016"
"218738615","12/16/2016"
"220135701","5/12/2017"
"221775752","4/19/2017"
"237076831","10/14/2016"
"220045215","4/5/2017"
"223371634","12/2/2016"
"222521007","12/2/2016"
"237076831","11/10/2016"
"220076152","12/15/2016"
"215569393","3/2/2017"
"221394521","10/20/2016"
"216273300","2/6/2017"
"211722079","3/31/2017"
"222467359","4/25/2017"
"213442296","12/8/2016"
"219499043","3/7/2017"
"223323965","4/5/2017"
"221277122","12/15/2016"
"219759081","3/6/2017"
"227189917","4/5/2017"
"221069008","11/10/2016"
"223323965","2/10/2017"
"213403314","12/16/2016"
"227169133","2/14/2017"
"214888349","1/4/2017"
"218611424","11/16/2016"
"226672012","3/6/2017"
"220711154","1/23/2017"
"216487819","12/21/2016"
"222467359","5/22/2017"
"223136482","2/13/2017"
"215738816","4/4/2017"
"222700981","4/5/2017"
"222487142","2/13/2017"
"220045421","12/8/2016"
"237076831","9/27/2016"
"216061812","1/13/2017"
"215883398","3/7/2017"
"225266394","4/4/2017"
"222602104","10/20/2016"
