ID,CardSourceID,CardHolderID,DateIn,InTime,ReportField1,ReportField2,DateOut,OutTime,HoursWorked
5360,73,216759860,NULL,NULL,,,3/23/2017,15:29,0
5361,73,220372304,NULL,NULL,,,3/23/2017,15:30,0
5366,73,217197920,NULL,NULL,,,3/23/2017,15:32,0
5367,73,217197938,NULL,NULL,,,3/23/2017,15:32,0
5364,73,218065035,NULL,NULL,,,3/23/2017,15:31,0
5365,73,217197938,NULL,NULL,,,3/23/2017,15:32,0
5443,73,217008168,3/24/2017,9:22,,,NULL,NULL,0
5442,73,217197698,3/24/2017,9:18,,,NULL,NULL,0
5441,73,226857217,3/24/2017,9:03,,,NULL,NULL,0
5440,73,222028235,3/24/2017,9:03,,,NULL,NULL,0
7063,73,220982136,NULL,NULL,,,4/6/2017,16:03,0
7062,73,209245166,NULL,NULL,,,4/6/2017,16:03,0
5445,73,219935822,3/24/2017,9:45,,,NULL,NULL,0
5444,73,223124025,3/24/2017,9:38,,,NULL,NULL,0
4288,73,222581233,NULL,NULL,,,3/15/2017,11:27,0
4303,73,201706009,NULL,NULL,,,3/15/2017,11:35,0
4302,73,223371634,NULL,NULL,,,3/15/2017,11:34,0
4301,73,220135701,NULL,NULL,,,3/15/2017,11:34,0
4289,73,233561125,NULL,NULL,,,3/15/2017,11:30,0
4307,73,223233677,NULL,NULL,,,3/15/2017,12:04,0
4306,73,222594566,NULL,NULL,,,3/15/2017,12:03,0
4305,73,220377972,NULL,NULL,,,3/15/2017,12:03,0
4304,73,220472872,NULL,NULL,,,3/15/2017,12:02,0
6969,73,218634418,NULL,NULL,,,4/6/2017,15:41,0
6968,73,216901678,NULL,NULL,,,4/6/2017,15:41,0
4201,73,212713291,NULL,NULL,,,3/13/2017,16:00,0
4308,73,218468627,NULL,NULL,,,3/15/2017,12:05,0
4570,73,221536113,3/17/2017,8:34,,,3/23/2017,15:33,150.983
4571,73,236959060,3/17/2017,8:35,,,NULL,NULL,0
4572,73,215559154,3/17/2017,8:35,,,NULL,NULL,0
4573,73,216328336,3/17/2017,8:36,,,NULL,NULL,0
4574,73,220879779,3/17/2017,8:37,,,NULL,NULL,0
4575,73,216102640,3/17/2017,8:37,,,NULL,NULL,0
4576,73,220214738,3/17/2017,8:37,,,NULL,NULL,0
4577,73,220274336,3/17/2017,8:38,,,3/23/2017,15:40,151.033
4578,73,223198193,3/17/2017,8:38,,,NULL,NULL,0
4579,73,220257570,3/17/2017,8:38,,,3/23/2017,15:58,151.333
4212,73,223131418,NULL,NULL,,,3/13/2017,16:05,0
4239,73,222822959,NULL,NULL,,,3/15/2017,10:55,0
4238,73,217531037,NULL,NULL,,,3/15/2017,10:54,0
4237,73,220378293,3/15/2017,9:43,,,3/15/2017,11:27,1.733
4236,73,214242224,3/15/2017,9:33,,,NULL,NULL,0
4235,73,221855265,3/15/2017,9:32,,,3/15/2017,11:31,1.983
4234,73,221373046,3/15/2017,9:32,,,3/15/2017,12:06,2.567
4233,73,221373053,3/15/2017,9:31,,,3/15/2017,12:05,2.567
4232,73,215987223,3/15/2017,9:28,,,NULL,NULL,0
4231,73,213403314,3/15/2017,9:24,,,3/15/2017,11:33,2.15
4230,73,214842387,3/15/2017,9:22,,,3/15/2017,12:15,2.883
5425,73,222892978,NULL,NULL,,,3/23/2017,15:58,0
5424,73,209076322,NULL,NULL,,,3/23/2017,15:58,0
5393,73,220162432,NULL,NULL,,,3/23/2017,15:41,0
5392,73,221125842,NULL,NULL,,,3/23/2017,15:41,0
5391,73,226728848,NULL,NULL,,,3/23/2017,15:40,0
5390,73,217102995,NULL,NULL,,,3/23/2017,15:40,0
5397,73,237002217,NULL,NULL,,,3/23/2017,15:42,0
5396,73,221218332,NULL,NULL,,,3/23/2017,15:42,0
5395,73,226879203,NULL,NULL,,,3/23/2017,15:41,0
5394,73,216885871,NULL,NULL,,,3/23/2017,15:41,0
5399,73,216563965,NULL,NULL,,,3/23/2017,15:43,0
5398,73,221373079,NULL,NULL,,,3/23/2017,15:42,0
4282,73,234147247,NULL,NULL,,,3/15/2017,11:25,0
4283,73,236052197,NULL,NULL,,,3/15/2017,11:25,0
4129,73,220117584,NULL,NULL,,,3/13/2017,15:42,0
4128,73,216490482,NULL,NULL,,,3/13/2017,15:42,0
4286,73,220288385,NULL,NULL,,,3/15/2017,11:26,0
4213,73,226723435,NULL,NULL,,,3/13/2017,16:07,0
4284,73,220257570,NULL,NULL,,,3/15/2017,11:25,0
4285,73,220162838,NULL,NULL,,,3/15/2017,11:26,0
4123,73,215732025,NULL,NULL,,,3/13/2017,15:40,0
4122,73,215770017,NULL,NULL,,,3/13/2017,15:40,0
4121,73,217315563,NULL,NULL,,,3/13/2017,15:40,0
4120,73,236969077,NULL,NULL,,,3/13/2017,15:40,0
4127,73,215732025,NULL,NULL,,,3/13/2017,15:41,0
4126,73,215016338,NULL,NULL,,,3/13/2017,15:41,0
4125,73,226728848,NULL,NULL,,,3/13/2017,15:41,0
4124,73,216102640,NULL,NULL,,,3/13/2017,15:40,0
4248,73,222537730,NULL,NULL,,,3/15/2017,11:03,0
4192,73,209245166,NULL,NULL,,,3/13/2017,15:59,0
4193,73,216863860,NULL,NULL,,,3/13/2017,15:59,0
7023,73,217197938,NULL,NULL,,,4/6/2017,15:49,0
7022,73,217197938,NULL,NULL,,,4/6/2017,15:49,0
7021,73,217197920,NULL,NULL,,,4/6/2017,15:49,0
7020,73,217327329,NULL,NULL,,,4/6/2017,15:48,0
4249,73,218509479,NULL,NULL,,,3/15/2017,11:03,0
7026,73,226879203,NULL,NULL,,,4/6/2017,15:49,0
7025,73,217197920,NULL,NULL,,,4/6/2017,15:49,0
7024,73,215238999,NULL,NULL,,,4/6/2017,15:49,0
7029,73,221218332,NULL,NULL,,,4/6/2017,15:50,0
7028,73,216356352,NULL,NULL,,,4/6/2017,15:50,0
7052,73,216486993,NULL,NULL,,,4/6/2017,16:01,0
7053,73,215009176,NULL,NULL,,,4/6/2017,16:01,0
7027,73,226728848,NULL,NULL,,,4/6/2017,15:50,0
7050,73,217060938,NULL,NULL,,,4/6/2017,16:01,0
7051,73,216766659,NULL,NULL,,,4/6/2017,16:01,0
7056,73,242036549,NULL,NULL,,,4/6/2017,16:02,0
7057,73,215675604,NULL,NULL,,,4/6/2017,16:02,0
7054,73,232981423,NULL,NULL,,,4/6/2017,16:01,0
4355,73,217060938,NULL,NULL,,,3/15/2017,12:30,0
4361,73,222657470,3/15/2017,12:33,,,NULL,NULL,0
7055,73,222274300,NULL,NULL,,,4/6/2017,16:01,0
7096,73,220012637,4/7/2017,9:34,,,NULL,NULL,0
5433,73,217865765,3/24/2017,8:46,,,NULL,NULL,0
5430,73,220149744,3/24/2017,8:45,,,NULL,NULL,0
7095,73,217197698,4/7/2017,9:19,,,NULL,NULL,0
