"1904","211722079","12/19/2016","In Attendance","211722079|12/19/2016"
"1905","211722079","12/20/2016","In Attendance","211722079|12/20/2016"
"1906","211722079","12/21/2016","In Attendance","211722079|12/21/2016"
"1907","211722079","12/22/2016","In Attendance","211722079|12/22/2016"
"1908","211722079","1/4/2017","In Attendance","211722079|1/4/2017"
"1909","211722079","12/15/2016","In Attendance","211722079|12/15/2016"
"1910","211722079","12/16/2016","In Attendance","211722079|12/16/2016"
"1911","211722079","12/19/2016","In Attendance","211722079|12/19/2016"
"1912","211722079","12/20/2016","Excused Absence","211722079|12/20/2016"
"1913","211722079","12/21/2016","Unexcused Absence","211722079|12/21/2016"
"1914","211722079","12/22/2016","Unexcused Absence","211722079|12/22/2016"
"1916","211722079","1/19/2017","In Attendance","211722079|1/19/2017"
"1918","211722079","1/23/2017","In Attendance","211722079|1/23/2017"
"1919","211722079","1/24/2017","Unexcused Absence","211722079|1/24/2017"
"33686","211722079","3/21/2017","Tardy","211722079|3/21/2017"
"34861","211722079","3/23/2017","Tardy","211722079|3/23/2017"
"1929","211986732","12/5/2016","In Attendance","211986732|12/5/2016"
"1930","211986732","12/9/2016","In Attendance","211986732|12/9/2016"
"1966","211986732","12/5/2016","In Attendance","211986732|12/5/2016"
"1969","211986732","12/9/2016","In Attendance","211986732|12/9/2016"
"2061","211989876","12/5/2016","In Attendance","211989876|12/5/2016"
"2175","211989876","12/5/2016","In Attendance","211989876|12/5/2016"
"8522","211989876","12/9/2016","Tardy","211989876|12/9/2016"
"8525","211989876","12/9/2016","Tardy","211989876|12/9/2016"
"2231","212713291","1/11/2017","In Attendance","212713291|1/11/2017"
"2232","212713291","1/13/2017","Excused Absence","212713291|1/13/2017"
"2233","212713291","1/17/2017","In Attendance","212713291|1/17/2017"
"2237","212713291","1/23/2017","In Attendance","212713291|1/23/2017"
"2330","212713291","12/15/2016","In Attendance","212713291|12/15/2016"
"2337","212713291","12/14/2016","In Attendance","212713291|12/14/2016"
"2338","212713291","12/15/2016","In Attendance","212713291|12/15/2016"
"2340","212713291","1/23/2017","In Attendance","212713291|1/23/2017"
"2341","212713291","1/13/2017","In Attendance","212713291|1/13/2017"
"2342","212713291","1/13/2017","In Attendance","212713291|1/13/2017"
"2347","212713291","1/11/2017","In Attendance","212713291|1/11/2017"
"2349","212713291","1/13/2017","Excused Absence","212713291|1/13/2017"
"2350","212713291","1/17/2017","In Attendance","212713291|1/17/2017"
"9461","212713291","12/14/2016","Tardy","212713291|12/14/2016"
"10393","212713291","12/16/2016","Tardy","212713291|12/16/2016"
"10395","212713291","12/16/2016","Tardy","212713291|12/16/2016"
"2351","212767156","1/10/2017","In Attendance","212767156|1/10/2017"
"2353","212767156","1/12/2017","In Attendance","212767156|1/12/2017"
"2354","212767156","1/13/2017","In Attendance","212767156|1/13/2017"
"2500","212767156","1/10/2017","In Attendance","212767156|1/10/2017"
"2501","212767156","1/12/2017","In Attendance","212767156|1/12/2017"
