"341","206591950","2/17/2017","In Attendance","206591950|2/17/2017"
"342","206591950","2/28/2017","In Attendance","206591950|2/28/2017"
"345","234896496","9/23/2016","Tardy","234896496|9/23/2016"
"348","206591950","3/8/2017","In Attendance","206591950|3/8/2017"
"349","206591950","3/9/2017","In Attendance","206591950|3/9/2017"
"350","221040041","9/23/2016","Tardy","221040041|9/23/2016"
"351","206591950","3/15/2017","In Attendance","206591950|3/15/2017"
"352","206591950","3/16/2017","In Attendance","206591950|3/16/2017"
"353","206591950","3/17/2017","In Attendance","206591950|3/17/2017"
"354","206591950","3/21/2017","In Attendance","206591950|3/21/2017"
"355","206591950","3/22/2017","In Attendance","206591950|3/22/2017"
"356","206591950","3/23/2017","In Attendance","206591950|3/23/2017"
"357","206591950","3/24/2017","In Attendance","206591950|3/24/2017"
"358","206591950","3/27/2017","Excused Absence","206591950|3/27/2017"
"359","206591950","3/28/2017","In Attendance","206591950|3/28/2017"
"360","206591950","3/29/2017","In Attendance","206591950|3/29/2017"
"361","206591950","3/30/2017","In Attendance","206591950|3/30/2017"
"362","206591950","3/31/2017","In Attendance","206591950|3/31/2017"
"363","206591950","4/3/2017","In Attendance","206591950|4/3/2017"
"364","206591950","4/4/2017","In Attendance","206591950|4/4/2017"
"365","206591950","4/5/2017","In Attendance","206591950|4/5/2017"
"366","206591950","4/6/2017","In Attendance","206591950|4/6/2017"
"367","206591950","4/7/2017","In Attendance","206591950|4/7/2017"
"368","206591950","4/11/2017","In Attendance","206591950|4/11/2017"
"369","234048551","9/23/2016","Tardy","234048551|9/23/2016"
"370","206591950","4/13/2017","Excused Absence","206591950|4/13/2017"
"371","206591950","4/18/2017","In Attendance","206591950|4/18/2017"
"372","206591950","4/19/2017","In Attendance","206591950|4/19/2017"
"373","206591950","4/20/2017","In Attendance","206591950|4/20/2017"
"374","206591950","4/21/2017","In Attendance","206591950|4/21/2017"
"375","206591950","4/22/2017","In Attendance","206591950|4/22/2017"
"376","220076152","9/26/2016","Tardy","220076152|9/26/2016"
"377","206591950","4/25/2017","In Attendance","206591950|4/25/2017"
"378","206591950","4/26/2017","In Attendance","206591950|4/26/2017"
"379","206591950","4/27/2017","In Attendance","206591950|4/27/2017"
"380","206591950","4/28/2017","In Attendance","206591950|4/28/2017"
"381","206591950","5/1/2017","In Attendance","206591950|5/1/2017"
"382","206591950","5/3/2017","In Attendance","206591950|5/3/2017"
"383","206591950","5/4/2017","In Attendance","206591950|5/4/2017"
"384","206591950","5/5/2017","In Attendance","206591950|5/5/2017"
"385","222487142","9/26/2016","Tardy","222487142|9/26/2016"
"386","222602104","9/26/2016","Tardy","222602104|9/26/2016"
"387","206591950","5/10/2017","In Attendance","206591950|5/10/2017"
"388","206591950","5/11/2017","Unexcused Absence","206591950|5/11/2017"
"389","206591950","5/12/2017","Unexcused Absence","206591950|5/12/2017"
"390","211989876","9/27/2016","Tardy","211989876|9/27/2016"
"391","206591950","5/23/2017","In Attendance","206591950|5/23/2017"
"392","206591950","5/24/2017","In Attendance","206591950|5/24/2017"
"397","207052606","9/8/2016","In Attendance","207052606|9/8/2016"
"398","207052606","9/9/2016","In Attendance","207052606|9/9/2016"
"399","207052606","9/12/2016","In Attendance","207052606|9/12/2016"
"400","207052606","9/13/2016","In Attendance","207052606|9/13/2016"
"401","207052606","9/14/2016","In Attendance","207052606|9/14/2016"
"402","207052606","9/15/2016","In Attendance","207052606|9/15/2016"
"403","207052606","9/16/2016","In Attendance","207052606|9/16/2016"
"404","207052606","9/19/2016","In Attendance","207052606|9/19/2016"
"405","207052606","9/20/2016","In Attendance","207052606|9/20/2016"
"406","207052606","9/21/2016","In Attendance","207052606|9/21/2016"
"407","207052606","9/22/2016","In Attendance","207052606|9/22/2016"
"408","207052606","9/23/2016","In Attendance","207052606|9/23/2016"
"409","207052606","9/26/2016","Unexcused Absence","207052606|9/26/2016"
"410","207052606","9/27/2016","In Attendance","207052606|9/27/2016"
"411","207052606","9/28/2016","In Attendance","207052606|9/28/2016"
"412","207052606","9/29/2016","In Attendance","207052606|9/29/2016"
"413","207052606","10/3/2016","In Attendance","207052606|10/3/2016"
"414","207052606","10/4/2016","In Attendance","207052606|10/4/2016"
